br2_06_12_001.tdms, Background Studies,  time=  0 Bkg    Volume= 0.000000 Concentration= 0.000000
br2_06_12_229.tdms, Group 3- 0.15 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.150000
br2_06_12_230.tdms, Group 3- 0.15 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.150000
br2_06_12_231.tdms, Group 3- 0.15 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.150000
br2_06_12_232.tdms, Group 3- 0.15 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.150000
br2_06_12_233.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_234.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_235.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_236.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_237.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_238.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_239.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_240.tdms, Group 3- 0.015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.015000
br2_06_12_241.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_242.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_243.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_244.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_245.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_246.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_247.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_248.tdms, Group 3- 0.0015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.001500
br2_06_12_249.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
br2_06_12_250.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
br2_06_12_251.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
br2_06_12_252.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
br2_06_12_253.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
br2_06_12_254.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
br2_06_12_255.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
br2_06_12_256.tdms, Group 3- 0.00015 pmol,  time=  0 q tip unconjugated Senior Scientific 25 Volume= 10.000000 Concentration= 0.000150
